dist,E,method
1.60151171,-109.223164839783,experiment
2.068,-109.542171381462,experiment
2.13534895,-109.539664059474,experiment
2.66918618,-109.415670069546,experiment
3.20302342,-109.286612732924,experiment
3.73686066,-109.218059591226,experiment
4.0,-109.20204171463,experiment
4.27069789,-109.192461246356,experiment
4.80453513,-109.183845499452,experiment
5.33837237,-109.180767545077,experiment
