geom;geom_comment;molecule;n_pretrain_HF;energy_type;epoch;E;E_sigma;wandb_url;experiment;source;method;embedding;orbitals;reuse_from;n_pretrain_variational;n_shared_molecules;epoch_geom;n_moelcules_shared;batch_size;HF_pretraining_loss
8873dd274d22ffabf6b4b53ee667f653;HChain10_1.60;HChain10;2000.0;eval;16000.0;-5.629208985805511;5.1660152131826535e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/lew9grdd;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
fea1d336915fd39a1ec7f72f61247165;HChain10_1.80;HChain10;2000.0;eval;500.0;-5.650047967910767;0.0001651470448578;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/kcnui7aj;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
fea1d336915fd39a1ec7f72f61247165;HChain10_1.80;HChain10;2000.0;eval;1000.0;-5.658492021560669;0.0001051985883394;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/kcnui7aj;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
fea1d336915fd39a1ec7f72f61247165;HChain10_1.80;HChain10;2000.0;eval;2000.0;-5.661190759658814;7.620382664985394e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/kcnui7aj;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
fea1d336915fd39a1ec7f72f61247165;HChain10_1.80;HChain10;2000.0;eval;4000.0;-5.661997502326965;5.849705056332753e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/kcnui7aj;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
fea1d336915fd39a1ec7f72f61247165;HChain10_1.80;HChain10;2000.0;eval;8000.0;-5.662574567317963;4.750962254932269e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/kcnui7aj;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
fea1d336915fd39a1ec7f72f61247165;HChain10_1.80;HChain10;2000.0;eval;16000.0;-5.66281411743164;3.765159145575279e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/kcnui7aj;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
9ba9afac2df9c11a138ef4615be01c68;HChain10_2.40;HChain10;2000.0;eval;500.0;-5.507607286453247;0.0001184556862103;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/wguuf6zo;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
9ba9afac2df9c11a138ef4615be01c68;HChain10_2.40;HChain10;2000.0;eval;1000.0;-5.512751408576966;8.840561108274879e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/wguuf6zo;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
9ba9afac2df9c11a138ef4615be01c68;HChain10_2.40;HChain10;2000.0;eval;2000.0;-5.514940288543701;6.312698118743304e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/wguuf6zo;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
9ba9afac2df9c11a138ef4615be01c68;HChain10_2.40;HChain10;2000.0;eval;4000.0;-5.516190225601196;5.670837069019371e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/wguuf6zo;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
9ba9afac2df9c11a138ef4615be01c68;HChain10_2.40;HChain10;2000.0;eval;8000.0;-5.516622356891632;3.9316994833968216e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/wguuf6zo;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
9ba9afac2df9c11a138ef4615be01c68;HChain10_2.40;HChain10;2000.0;eval;16000.0;-5.516883282661438;3.13206260045299e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/wguuf6zo;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
a24a68573ac4510ae53641ee95939e3d;HChain10_2.20;HChain10;2000.0;eval;500.0;-5.577867774963379;0.0001145700694764;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/jgimvq7k;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
a24a68573ac4510ae53641ee95939e3d;HChain10_2.20;HChain10;2000.0;eval;1000.0;-5.5814417428970335;8.223318967928957e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/jgimvq7k;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
a24a68573ac4510ae53641ee95939e3d;HChain10_2.20;HChain10;2000.0;eval;2000.0;-5.583227239131928;6.293414502142322e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/jgimvq7k;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
a24a68573ac4510ae53641ee95939e3d;HChain10_2.20;HChain10;2000.0;eval;4000.0;-5.583948078632354;4.862286598323968e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/jgimvq7k;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
a24a68573ac4510ae53641ee95939e3d;HChain10_2.20;HChain10;2000.0;eval;8000.0;-5.584378165721893;4.043443036792589e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/jgimvq7k;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
a24a68573ac4510ae53641ee95939e3d;HChain10_2.20;HChain10;2000.0;eval;16000.0;-5.584613964557648;3.322945050343082e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/jgimvq7k;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
710731efe46012a9a7f8b330cb4a9cd1;HChain6_2.60;HChain6;2000.0;eval;500.0;-3.2618542656898497;5.661021292920954e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/8l1o41z1;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
710731efe46012a9a7f8b330cb4a9cd1;HChain6_2.60;HChain6;2000.0;eval;1000.0;-3.262486444234848;4.258242020593638e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/8l1o41z1;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
710731efe46012a9a7f8b330cb4a9cd1;HChain6_2.60;HChain6;2000.0;eval;2000.0;-3.262904766559601;3.140933822541823e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/8l1o41z1;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
710731efe46012a9a7f8b330cb4a9cd1;HChain6_2.60;HChain6;2000.0;eval;4000.0;-3.263185928106308;2.3361701101005883e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/8l1o41z1;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
710731efe46012a9a7f8b330cb4a9cd1;HChain6_2.60;HChain6;2000.0;eval;8000.0;-3.263301558494568;1.920669513869356e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/8l1o41z1;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
710731efe46012a9a7f8b330cb4a9cd1;HChain6_2.60;HChain6;2000.0;eval;16000.0;-3.2633188841342924;1.597208920542933e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/8l1o41z1;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
8a7f2745639c059bcade6020b30ce6fb;HChain6_2.00_2.00;HChain6;2000.0;eval;500.0;-3.382772580385208;6.959251205746344e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/qku17xmz;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
8a7f2745639c059bcade6020b30ce6fb;HChain6_2.00_2.00;HChain6;2000.0;eval;1000.0;-3.3837871978282927;5.389068146917221e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/qku17xmz;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
8a7f2745639c059bcade6020b30ce6fb;HChain6_2.00_2.00;HChain6;2000.0;eval;2000.0;-3.3842547421455382;4.349246627392642e-05;https://wandb.ai/schroedinger_univie/gao_shared_hchains/runs/qku17xmz;2023-02-09_gao_indep_Hchains;dpe;indep;dpe256;gao_4fd;;0.0;;;;;
