,geom,geom_comment,molecule,n_pretrain_HF,energy_type,epoch,E,E_sigma,wandb_url,experiment,source,method,embedding,orbitals,reuse_from,n_pretrain_variational,n_shared_molecules,epoch_geom,n_moelcules_shared,batch_size,HF_pretraining_loss,n_compounds,model_size
7863,e1ab076fedecbaa059d96d0021aed644,COH2_smiles_C=O_rot_dist_51,COH2,0.0,eval,4000.0,-114.46789363861085,0.0010337189031617,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/n00poh6t,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,424.0,,2048.0,,18.0,2.0
7870,63ed555a2939eb898bada9d20327519d,C3H4_smiles_C=C=C_rot_dist_57,C3H4,0.0,eval,4000.0,-116.56046970367431,0.0013097781567569,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/lktrrpag,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,458.0,,2048.0,,18.0,2.0
7877,c9ade00a8a08f0193ad85a4e79889010,CN2H2_smiles_N=C=N_rot_dist_59,CN2H2,0.0,eval,4000.0,-148.68676429748535,0.0013589930269931,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/i1x0rxt3,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,370.0,,2048.0,,18.0,2.0
7884,28ae425c4fad0c4ac48818559f9e8dae,CNOH_smiles_N=C=O_rot_dist_59,CNOH,0.0,eval,4000.0,-168.62277061462402,0.0015517562185813,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/9z4557l1,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,356.0,,2048.0,,18.0,2.0
7891,4ba6380082d722e0b453149025a66f4c,C3H4_smiles_C=C=C_rot_dist_56,C3H4,0.0,eval,4000.0,-116.53017833709715,0.0011227259409005,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/qiml1v41,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,334.0,,2048.0,,18.0,2.0
7898,87e73f202a203354d64a52fa0d45b340,CNH_smiles_C#N_rot_dist_58,CNH,0.0,eval,4000.0,-93.4114123916626,0.0008766708538644,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/n2xycfsb,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,419.0,,2048.0,,18.0,2.0
7905,525c9db5e9b4210e071dfc9bfd66a9e4,CO2_smiles_O=C=O_rot_dist_50,CO2,0.0,eval,4000.0,-188.49199432373047,0.0020075975503182,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/jxma5ybb,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,473.0,,2048.0,,18.0,2.0
7912,01fac64e87ffccc6cd2a67f3e8a0ba70,CN2H2_smiles_N=C=N_rot_dist_58,CN2H2,0.0,eval,4000.0,-148.62228408813476,0.00157566281444,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/vde8n6b0,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,473.0,,2048.0,,18.0,2.0
7919,505f85ab331252fd0ff03900bc24a92d,COH2_smiles_C=O_rot_dist_50,COH2,0.0,eval,4000.0,-114.4444783782959,0.0008936645668086,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/14j29idk,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,256kshared_tinymol_v10,256000.0,10.0,357.0,,2048.0,,18.0,2.0
7926,5ed758e2247d4afcbcac2fdd84382072,CNOH_smiles_N=C=O_rot_dist_58,CNOH,0.0,eval,4000.0,-168.57027641296386,0.0017730373181603,https://wandb.ai/schroedinger_univie/gao_shared_tinymol/runs/s924nwh1,2023-03-06_tinymol_v10_ablation_n_pretrain,dpe,reuseshared,dpe256,gao_4fd,128kshared_tinymol_v10,128000.0,10.0,509.0,,2048.0,,18.0,2.0
