E,E_sigma,basis,twist_nr,twist_weight,E_hf
-76.03815460205078,0.0005906192706741304,STO-6G,0,0.1111111111111111,-75.44099426269531
-76.32797241210938,0.00045509362798306697,STO-6G,1,0.6666666666666666,-75.73176574707031
-76.27873229980469,0.000629413017663294,STO-6G,2,0.2222222222222222,-75.58816528320312
-76.03668975830078,0.0004629669739054048,cc-pvdz,0,0.1111111111111111,-75.57880401611328
-76.32854461669922,0.0007169346092363308,cc-pvdz,1,0.6666666666666666,-75.8813247680664
-76.27928924560547,0.0005309959470162019,cc-pvdz,2,0.2222222222222222,-75.76689910888672
-76.03511047363281,0.0012611784554599143,cc-pvtz,0,0.1111111111111111,-75.61263275146484
-76.32781219482422,0.0005610709645959682,cc-pvtz,1,0.6666666666666666,-75.91094970703125
-76.27831268310547,0.0005415533182953567,cc-pvtz,2,0.2222222222222222,-75.79456329345703
